No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
1,ACC340Lec1,Financial Management,3,"IP, IP",MGT-103,T,12:00:00 PM,2:59:00 PM,36,12
2,ACT112Lec1,Principles Of Accounting 1,3,"IP, IP",MGT-201,T,3:00:00 PM,5:59:00 PM,40,5
3,ACT112Lec2,Principles Of Accounting 1,3,"IP, IP",MGT-201,M,12:00:00 PM,2:59:00 PM,40,6
4,ACT112Lec3,Principles Of Accounting 1,3,"IP, IP",MGT-202,T,9:00:00 AM,11:59:00 AM,40,3
5,ACT112Lec4,Principles Of Accounting 1,3,"IP, IP",HUB-114,W,6:00:00 PM,8:59:00 PM,40,0
6,ACT112Lec5,Principles Of Accounting 1,3,"IP, IP",HUB-101,M,9:00:00 AM,11:59:00 AM,40,2
7,ACT212Lec1,Principles Of Accounting 2,3,"IP, IP",MGT-201,W,12:00:00 PM,2:59:00 PM,40,40
8,ACT212Lec2,Principles Of Accounting 2,3,"IP, IP",MGT-202,R,3:00:00 PM,5:59:00 PM,40,20
9,ACT212Lec3,Principles Of Accounting 2,3,"IP, IP",MGT-201,M,6:00:00 PM,8:59:00 PM,40,3
10,ACT250Lec1,Fundamentals Of Taxation,3,"IP, IP",MGT-107,T,12:00:00 PM,2:59:00 PM,30,16
11,ACT330Lec1,International Financial Reporting Standards,3,"IP, IP",MGT-101,R,9:00:00 AM,11:59:00 AM,40,35
12,ACT450Lec1,Auditing,3,"IP, IP",MGT-207,W,3:00:00 PM,5:59:00 PM,35,7
13,AIMC210Lec1,Audience Perceptions And Insights,3,"IP, IP",MGT-102,M,9:00:00 AM,11:59:00 AM,32,27
14,AIMC315Lec1,Creative Advertising Strategies,3,"IP, IP",MGT-205,W,3:00:00 PM,5:59:00 PM,21,19
15,AIMC418Lec1,Communication And Media Planning Strategies,3,"IP, IP",MGT-205,M,12:00:00 PM,2:59:00 PM,24,12
16,ARC201Std1,Studio 3 – Architectural Design & Materiality,6,"IP, IP",HUB-124,M,9:00:00 AM,10:29:00 AM,22,4
,,,,"IP, IP",HUB-124,M,10:30:00 AM,1:29:00 PM,22,4
,,,,"IP, IP",HUB-124,T,12:00:00 PM,1:30:00 PM,22,4
,,,,"IP, IP",HUB-124,T,1:30:00 PM,4:29:00 PM,22,4
17,ARC243Lec1,Construction And Design Integration 1,3,"IP, IP",HUB-124,M,3:00:00 PM,4:59:00 PM,20,4
,,,,"IP, IP",HUB-124,M,5:00:00 PM,6:59:00 PM,20,4
18,ARC301Std1,Studio 5 - Design And The Environment,6,"IP, IP",HUB-121,W,9:00:00 AM,10:29:00 AM,30,0
,,,,"IP, IP",HUB-121,W,10:30:00 AM,1:29:00 PM,30,0
,,,,"IP, IP",HUB-121,R,3:00:00 PM,4:29:00 PM,30,0
,,,,"IP, IP",HUB-121,R,4:30:00 PM,7:29:00 PM,30,0
19,ARC343Lec1,Structures 1,3,"IP, IP",MGT-105,M,9:00:00 AM,11:59:00 AM,30,9
20,ARC401Std1,Studio 7 - Urban Design,6,"IP, IP",HUB-125,W,9:00:00 AM,10:29:00 AM,20,0
,,,,"IP, IP",HUB-125,W,10:30:00 AM,1:29:00 PM,20,0
,,,,"IP, IP",HUB-125,R,3:00:00 PM,4:29:00 PM,20,0
,,,,"IP, IP",HUB-125,R,4:30:00 PM,7:29:00 PM,20,0
21,ARC434Lec1,Planning & Urban Design,3,"IP, IP",MGT-105,W,3:00:00 PM,5:59:00 PM,24,0
22,ARC435Lec1,Vernacular Architecture And Conservation,3,"IP, IP",MGT-107,M,12:00:00 PM,2:59:00 PM,30,0
23,ARC501Std1,Studio 9 - Integrated Design 2,6,"IP, IP",HUB-123,TR,9:00:00 AM,10:30:00 AM,20,0
,,,,"IP, IP",HUB-123,TR,10:30:00 AM,1:29:00 PM,20,0
24,ARC521Lec1,Research And Design Explorations,3,"IP, IP",MGT-105,R,3:00:00 PM,5:59:00 PM,24,3
25,ARC541Lec1,Construction Economics,3,"IP, IP",MGT-102,W,9:00:00 AM,11:59:00 AM,24,3
26,BAI101Lec1,AI And Modern Life,3,"IP, IP",MGT-208,T,12:00:00 PM,2:59:00 PM,24,7
27,BCS101Lec1,Elements Of Computing,3,"IP, IP",HUB-118 Robotic Lab,M,5:00:00 PM,6:59:00 PM,20,8
,,,,"IP, IP",MGT-204,T,11:00:00 AM,12:59:00 PM,20,8
28,BCS101Lec2,Elements Of Computing,3,"IP, IP",MGT-204,T,11:00:00 AM,12:59:00 PM,20,2
,,,,"IP, IP",HUB-118 Robotic Lab,W,7:00:00 PM,8:59:00 PM,20,2
29,BCS101Lec3,Elements Of Computing,3,"IP, IP",MGT-204,M,3:00:00 PM,4:59:00 PM,20,14
,,,,"IP, IP",HUB-117 Software Lab,T,3:00:00 PM,4:59:00 PM,20,14
