No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
1,BCS101Lec1,Elements Of Computing,3,"Seyam, Ahmed",HUB-117 Software Lab,M,11:00:00 AM,12:59:00 PM,24,21
,,,,"Garg, Sahil",HUB-114,T,11:00:00 AM,12:59:00 PM,24,21
2,BCS101Lec2,Elements Of Computing,3,"Garg, Sahil",HUB-114,T,11:00:00 AM,12:59:00 PM,24,25
,,,,"Seyam, Ahmed",HUB-118 Robotic Lab,R,5:00:00 PM,6:59:00 PM,24,25
3,BCS101Lec3,Elements Of Computing,3,"Seyam, Ahmed",HUB-118 Robotic Lab,T,1:00:00 PM,2:59:00 PM,24,24
,,,,"Garg, Sahil",HUB-114,W,11:00:00 AM,12:59:00 PM,24,24
4,BCS101Lec4,Elements Of Computing,3,"Yousefi, Adel",HUB-117 Software Lab,T,1:00:00 PM,2:59:00 PM,24,8
,,,,"Garg, Sahil",HUB-114,W,11:00:00 AM,12:59:00 PM,24,8
5,BCS102Lec1,Introduction To Computing Science I,3,"Yousefi, Adel",HUB-117 Software Lab,T,5:00:00 PM,6:59:00 PM,24,24
,,,,"Zgheib, Rita",MGT-204,W,11:00:00 AM,12:59:00 PM,24,24
6,BCS102Lec2,Introduction To Computing Science I,3,"Zgheib, Rita",HUB-117 Software Lab,M,9:00:00 AM,10:59:00 AM,24,25
,,,,"Zgheib, Rita",MGT-204,W,11:00:00 AM,12:59:00 PM,24,25
7,BCS102Lec3,Introduction To Computing Science I,3,"Zgheib, Rita",MGT-204,T,3:00:00 PM,4:59:00 PM,24,24
,,,,"Seyam, Ahmed",HUB-117 Software Lab,W,1:00:00 PM,2:59:00 PM,24,24
8,BCS102Lec4,Introduction To Computing Science I,3,"Zgheib, Rita",MGT-204,T,3:00:00 PM,4:59:00 PM,24,24
,,,,"Zgheib, Rita",HUB-117 Software Lab,R,5:00:00 PM,6:59:00 PM,24,24
9,BCS202Lec01,Introduction To Computing Science II,3,"Yousefi, Adel",HUB-117 Software Lab,M,7:00:00 PM,8:59:00 PM,10,8
,,,,"Oguz, Kaya",MGT-204,T,5:00:00 PM,6:59:00 PM,10,8
10,BCS203Lec1,Software Specifications,3,"Mohamed, Tamer",HUB-114,M,3:00:00 PM,5:59:00 PM,48,46
11,BCS203Lec2,Software Specifications,3,"Mohamed, Tamer",MGT-204,R,6:00:00 PM,8:59:00 PM,48,45
12,BCS206Lec1,Information Structures,3,"Elnaffar, Said Selim",HUB-112,W,9:00:00 AM,11:59:00 AM,48,43
13,BCS206Lec2,Information Structures,3,"Elnaffar, Said Selim",HUB-114,T,3:00:00 PM,5:59:00 PM,48,48
14,BCS221Lec1,Communication Networks,3,"Faheem, Yasir",HUB-118 Robotic Lab,M,11:00:00 AM,12:59:00 PM,24,22
,,,,"Faheem, Yasir",MGT-204,T,9:00:00 AM,10:59:00 AM,24,22
15,BCS221Lec2,Communication Networks,3,"Faheem, Yasir",MGT-204,T,9:00:00 AM,10:59:00 AM,24,24
,,,,"Yousefi, Adel",HUB-118 Robotic Lab,W,3:00:00 PM,4:59:00 PM,24,24
16,BCS221Lec3,Communication Networks,3,"Faheem, Yasir",HUB-118 Robotic Lab,M,3:00:00 PM,4:59:00 PM,24,24
,,,,"Faheem, Yasir",MGT-204,T,11:00:00 AM,12:59:00 PM,24,24
17,BCS221Lec4,Communication Networks,3,"Faheem, Yasir",MGT-204,T,11:00:00 AM,12:59:00 PM,24,24
,,,,"Yousefi, Adel",HUB-118 Robotic Lab,W,1:00:00 PM,2:59:00 PM,24,24
18,BCS222Lec1,Programming Paradigms,3,"El Messiry, Haytham",MGT-208,R,9:00:00 AM,11:59:00 AM,48,41
19,BCS222Lec2,Programming Paradigms,3,"El Messiry, Haytham",MGT-204,W,3:00:00 PM,5:59:00 PM,48,48
20,BCS305Lec1,Software Architecture,3,"Zgheib, Rita",HUB-114,W,3:00:00 PM,5:59:00 PM,50,32
21,BCS306Lec1,Database Management Systems,3,"Garg, Sahil",HUB-114,T,1:00:00 PM,2:59:00 PM,22,22
,,,,"Yousefi, Adel",HUB-117 Software Lab,T,7:00:00 PM,8:59:00 PM,22,22
22,BCS306Lec2,Database Management Systems,3,"Garg, Sahil",HUB-114,T,1:00:00 PM,2:59:00 PM,22,23
,,,,"Yousefi, Adel",HUB-117 Software Lab,R,1:00:00 PM,2:59:00 PM,22,23
23,BCS306Lec3,Database Management Systems,3,"Yousefi, Adel",HUB-118 Robotic Lab,T,3:00:00 PM,4:59:00 PM,23,23
,,,,"Garg, Sahil",HUB-114,W,1:00:00 PM,2:59:00 PM,23,23
24,BCS306Lec4,Database Management Systems,3,"Garg, Sahil",HUB-114,W,1:00:00 PM,2:59:00 PM,22,6
,,,,"Seyam, Ahmed",HUB-117 Software Lab,W,7:00:00 PM,8:59:00 PM,22,6
25,BCS307Lec1,Digital Systems,4,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,T,1:00:00 PM,2:59:00 PM,20,20
,,,,"Moussa, Sherif",HUB-114,R,6:00:00 PM,8:59:00 PM,20,20
26,BCS307Lec2,Digital Systems,4,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,W,1:00:00 PM,2:59:00 PM,20,18
,,,,"Moussa, Sherif",HUB-114,R,6:00:00 PM,8:59:00 PM,20,18
27,BCS307Lec3,Digital Systems,4,"Yousefi, Adel",HUB-116 Electronic Lab,M,3:00:00 PM,4:59:00 PM,20,8
,,,,"Moussa, Sherif",HUB-114,R,6:00:00 PM,8:59:00 PM,20,8
28,BCS309Lec1,Algorithms I,3,"Zgheib, Rita",MGT-208,T,9:00:00 AM,11:59:00 AM,43,40
29,BCS309Lec2,Algorithms I,3,"Kolankeh , Arash",HUB-114,W,6:00:00 PM,8:59:00 PM,45,45
30,BCS323Lec1,System-Level Programming,3,"Elgazzar, Khalid",MGT-204,M,5:00:00 PM,6:59:00 PM,24,11
,,,,"Seyam, Ahmed",HUB-119,R,10:00:00 AM,11:59:00 AM,24,11
31,BCS323Lec2,System-Level Programming,3,"Elgazzar, Khalid",MGT-204,M,5:00:00 PM,6:59:00 PM,24,23
,,,,"Seyam, Ahmed",HUB-117 Software Lab,W,11:00:00 AM,12:59:00 PM,24,23
32,BCS323Lec3,System-Level Programming,3,"Elgazzar, Khalid",MGT-204,M,7:00:00 PM,8:59:00 PM,24,22
,,,,"Seyam, Ahmed",HUB-118 Robotic Lab,T,5:00:00 PM,6:59:00 PM,24,22
33,BCS323Lec4,System-Level Programming,3,"Elgazzar, Khalid",MGT-204,M,7:00:00 PM,8:59:00 PM,24,21
